Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Greece,COSMOTE,OTE A.E. (Deutsche Telekom AG 54.5%),"20201, 20202",X,,X,,greece_cosmote
Greece,NOVA,United Group B.V.,"20209 (Q-TELECOM), 20210 (NOVA)",X,,X,"formerly TELESTET, TIM, WIND | • Includes the previous Q-TELECOM network.",greece_nova
Greece,Vodafone,Vodafone Group (100%),"20205 (Vodafone), 20214 (CYTA Hellas)",X,,X,formerly Panafon | • Includes the previous CYTA Hellas network.,greece_vodafone
Greenland,tusass,TELE Greenland,,X,X,X,formerly TELE Greenland,greenland_tusass
Grenada,Digicel,Digicel (100%)[19],,X,X,X,,grenada_digicel
Grenada,FLOW,Liberty Latin America[2],,X,X,X,,grenada_flow
"Guadeloupe, Martinique and French Guiana (Guyane)",Digicel,Digicel (100%)[19],,X,X,X,,"guadeloupe, martinique and french guiana (guyane)_digicel"
"Guadeloupe, Martinique and French Guiana (Guyane)",IEC Telecom,IEC Telecom (100%)[19],,X,X,X,,"guadeloupe, martinique and french guiana (guyane)_iec_telecom"
"Guadeloupe, Martinique and French Guiana (Guyane)",Orange Caraïbe[98],Orange S.A.,,X,X,X,,"guadeloupe, martinique and french guiana (guyane)_orange_caraïbe[98]"
"Guadeloupe, Martinique and French Guiana (Guyane)",Outremer Telecom,Outremer Telecom (100%)[19],,X,X,X,,"guadeloupe, martinique and french guiana (guyane)_outremer_telecom"
"Guadeloupe, Martinique and French Guiana (Guyane)",SFR Caraïbe [fr][99],Numericable (Altice),,X,X,X,,"guadeloupe, martinique and french guiana (guyane)_sfr_caraïbe [fr][99]"
Guam,Docomo Pacific,NTT Docomo,,X,X,X,,guam_docomo_pacific
Guam,GTA,TeleGuam Holdings LLC,,X,X,X,,guam_gta
Guam,IT&E and Iconnect,PTI Pacifica Inc.,,,X,X,,guam_it&e_and_iconnect
Guatemala,Claro,América Móvil (99.3%)[5],,X,X,,,guatemala_claro
Guatemala,Tigo,Millicom (Altas Investissement (NJJ) 29.1%)[103](55%)[104],,X,X,X,,guatemala_tigo
Guernsey,Airtel-Vodafone,Batelco,23403,X,X,X,,guernsey_airtel-vodafone
Guernsey,JT,JT Group,23450,X,X,X,,guernsey_jt
Guernsey,Sure,Batelco,23455,X,X,X,,guernsey_sure
Guinea,Cellcom Guinée,Cellcom Telecommunications Ltd[61],,X,X,,,guinea_cellcom_guinée
Guinea,Intercel,Telecel Guinee SARL,,X,,,,guinea_intercel
Guinea,MTN,MTN (75%),,X,X,,formerly Areeba,guinea_mtn
Guinea,Orange,Orange S.A. (52.2%),,X,,,,guinea_orange
